	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	5.7009	 	0	0
DL	0.00310832	3	1	1	1	2	1	0	48	0	0	12.2043	 	0	0
DL	0.00311248	3	1	2	1	1	2	0	48	0	0	21.6565	 	0	0
UL	0.00360832	3	6	1	1	1	1	0	48	0	0	5.7009 	0	0
UL	0.00360832	3	6	1	1	2	1	0	48	0	0	12.2043 	0	0
UL	0.00361248	3	6	2	1	1	2	0	48	0	0	21.6565 	0	0
DL	0.00400832	4	0	1	1	2	1	0	768	16	0	12.2043	 	0	0
DL	0.00400832	4	0	1	1	1	1	0	385	10	0	5.7009	 	0	2.29219e-11
DL	0.00401248	4	0	2	1	1	2	0	1449	24	0	21.6565	 	0	1.77636e-15
UL	0.00454992	4	5	1	11	1	1	0	4255	10	0	5.7009 	0	2.32058e-05
UL	0.00459568	4	5	1	22	2	1	0	17035	16	0	12.2043 	0	0
UL	0.00459568	4	5	12	11	1	2	0	17035	25	0	21.6565 	0	0.0042354
UL	0.00464992	4	6	1	11	1	1	0	4255	10	0	5.7009 	0	2.32058e-05
UL	0.00469568	4	6	1	22	2	1	0	17035	16	0	12.2043 	0	0
UL	0.00469568	4	6	12	11	1	2	0	17035	25	0	21.6565 	0	0.0042354
UL	0.00474992	4	7	1	11	1	1	0	4255	10	0	5.7009 	0	2.32058e-05
UL	0.00479568	4	7	1	22	2	1	0	17035	16	0	12.2043 	0	0
UL	0.00479568	4	7	12	11	1	2	0	17035	25	0	21.6565 	0	0.0042354
UL	0.00484992	4	8	1	11	1	1	0	4680	11	0	5.7009 	0	5.83771e-06
UL	0.00489568	4	8	1	22	2	1	0	17035	16	0	12.2043 	0	0
UL	0.00489568	4	8	12	11	1	2	0	17035	25	0	21.6565 	0	0.0042354
DL	0.00492912	4	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00494992	4	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
